step,x,y,z
0,15.0,15.0,0.7009999752044678
1,15.265165328979492,15.265165328979492,0.7009999752044678
2,16.06066131591797,16.06066131591797,0.7009999752044678
3,17.386486053466797,17.386486053466797,0.7009999752044678
4,19.24264144897461,19.24264144897461,0.7009999752044678
5,21.629127502441406,21.629127502441406,0.7009999752044678
6,24.545942306518555,24.545942306518555,0.7009999752044678
7,27.993087768554688,27.993087768554688,0.7009999752044678
8,31.921905517578125,31.4888916015625,0.9175063371658325
9,36.067230224609375,34.3931884765625,1.350519061088562
10,40.477718353271484,36.9224853515625,1.5183666944503784
11,44.936866760253906,39.23527526855469,1.637555718421936
12,49.39601516723633,41.115055084228516,2.1897573471069336
13,53.85516357421875,42.56182098388672,3.174971580505371
14,58.36296844482422,43.52691650390625,4.376692295074463
15,62.91943359375,44.01034164428711,5.690052509307861
16,67.5245590209961,44.542423248291016,7.115052223205566
17,72.39485168457031,44.96467208862305,8.54005241394043
18,77.26513671875,44.63692092895508,9.965052604675293
19,81.76042175292969,43.93416976928711,11.390052795410156
20,86.1458740234375,43.49658203125,12.81505298614502
21,91.01300048828125,43.54066467285156,14.240053176879883
22,96.09663391113281,43.42625427246094,15.665053367614746
23,100.80526733398438,42.93684387207031,17.09005355834961
24,105.40406799316406,42.71260070800781,18.515052795410156
25,110.05152130126953,42.53701400756836,19.940052032470703
26,114.74763488769531,42.41008758544922,21.36505126953125
27,119.70891571044922,42.81349182128906,22.790050506591797
28,124.67019653320312,43.747222900390625,23.949886322021484
29,129.6314697265625,45.21128463745117,24.579391479492188
30,134.37623596191406,46.72400665283203,25.16023826599121
31,139.16966247558594,48.02022171020508,25.692426681518555
32,144.22825622558594,49.316436767578125,26.334449768066406
33,149.28684997558594,50.61265182495117,26.976472854614258
34,154.34544372558594,51.90886688232422,26.86849594116211
35,159.18753051757812,52.98857498168945,26.60202407836914
36,164.07827758789062,54.116943359375,26.552059173583984
37,169.01768493652344,55.293968200683594,26.71860122680664
38,174.00575256347656,56.254486083984375,26.836484909057617
39,179.04248046875,56.99850082397461,26.90570831298828
40,183.86270141601562,57.79117202758789,26.926273345947266
41,188.89942932128906,58.632503509521484,26.89818000793457
42,193.9361572265625,59.04082107543945,27.303098678588867
43,198.97288513183594,59.44913864135742,27.708017349243164
44,204.2261199951172,59.80879592895508,27.63126564025879
45,209.47935485839844,60.168453216552734,27.554513931274414
46,214.7325897216797,60.52811050415039,27.47776222229004
47,219.98582458496094,60.88776779174805,27.401010513305664
48,224.97389221191406,61.51259231567383,27.854589462280273
49,229.9619598388672,62.13741683959961,28.308168411254883
50,234.99868774414062,62.9787483215332,28.280075073242188
51,239.81890869140625,64.30175018310547,27.77031135559082
52,244.63912963867188,66.15508270263672,26.970346450805664
53,249.2428436279297,68.05707550048828,26.361852645874023
54,253.8952178955078,69.74256134033203,25.753358840942383
55,258.59625244140625,71.21154022216797,25.144865036010742
56,263.345947265625,72.4640121459961,24.5363712310791
57,268.3608093261719,73.98165130615234,23.97653579711914
58,273.1591491699219,75.54794311523438,23.898372650146484
59,278.00616455078125,76.89773559570312,23.77155113220215
60,282.9018249511719,78.03102111816406,23.5960693359375
61,287.8461608886719,78.94779968261719,23.371929168701172
62,292.8391418457031,79.6480712890625,23.099130630493164
63,297.8321228027344,80.34834289550781,22.826332092285156
64,302.8251037597656,81.04861450195312,22.55353355407715
65,307.8180847167969,81.74888610839844,22.28073501586914
66,312.8110656738281,82.44915771484375,22.007936477661133
67,317.8040466308594,83.14942932128906,22.168149948120117
68,322.7970275878906,83.84970092773438,22.761377334594727
69,327.83868408203125,84.33346557617188,23.305946350097656
70,332.9289855957031,84.60072326660156,23.801856994628906
71,337.80279541015625,84.91664123535156,24.249107360839844
72,342.4600830078125,85.28121185302734,24.6476993560791
73,347.1660461425781,85.69444274902344,25.262798309326172
74,352.13714599609375,86.63800811767578,25.61273193359375
75,356.8917541503906,87.63023376464844,25.91400718688965
76,361.69500732421875,88.40595245361328,26.166624069213867
77,366.763427734375,89.44683074951172,26.419240951538086
78,371.83184814453125,90.75287628173828,26.562023162841797
79,376.68377685546875,91.84241485595703,26.546310424804688
80,381.5843505859375,92.71544647216797,26.4819393157959
81,386.5335998535156,93.3719711303711,26.36890983581543
82,391.531494140625,93.8119888305664,26.20722198486328
83,396.57806396484375,94.0354995727539,25.996875762939453
84,401.4081115722656,94.30767059326172,26.268199920654297
85,406.2381591796875,95.11017608642578,26.53952407836914
86,411.0682067871094,96.44300842285156,26.280517578125
87,415.6817626953125,97.82450103759766,25.97285270690918
88,420.3439636230469,98.98948669433594,25.61652946472168
89,425.2713317871094,100.41963958740234,25.26020622253418
90,429.9822082519531,101.89844512939453,25.385555267333984
91,434.7417297363281,103.1607437133789,25.462244033813477
92,439.5499267578125,104.20654296875,25.49027442932129
93,444.4067687988281,105.03583526611328,25.469646453857422
94,449.312255859375,105.64862060546875,25.400360107421875
95,454.26641845703125,106.0448989868164,25.28241539001465
96,459.26922607421875,106.22467041015625,25.115812301635742
97,464.3207092285156,106.18793487548828,24.900548934936523
98,469.42083740234375,106.36770629882812,24.636627197265625
99,474.3044738769531,106.49881744384766,24.324047088623047
100,478.9715881347656,106.58126831054688,23.96280860900879
101,483.6873779296875,106.61505889892578,23.818077087402344
102,488.4518127441406,106.6001968383789,23.889850616455078
103,492.7832336425781,106.58533477783203,23.961624145507812
104,496.681640625,106.13745880126953,23.600385665893555
105,500.14703369140625,105.68958282470703,23.239147186279297
106,503.39593505859375,105.08321380615234,23.09441566467285
107,506.4283142089844,104.31835174560547,23.166189193725586
108,509.0276794433594,103.5534896850586,23.23796272277832
109,511.4105529785156,102.9471206665039,23.093231201171875
110,513.4183959960938,102.71575164794922,22.94849967956543
111,514.67626953125,102.48438262939453,22.803768157958984
112,515.2940063476562,102.25301361083984,22.393871307373047
113,515.3814086914062,102.02164459228516,21.643840789794922
114,514.9384765625,101.79027557373047,21.08400535583496
115,513.9652099609375,101.55890655517578,21.054500579833984
116,512.9432983398438,101.5440444946289,21.50666618347168
117,512.4030151367188,101.74568939208984,21.910173416137695
