step,x,y,z
0,50.0,50.0,0.7009999752044678
1,50.0,49.73483657836914,0.9661650061607361
2,50.21650695800781,48.987998962402344,1.7130014896392822
3,50.86602783203125,47.80815124511719,2.892850637435913
4,51.94855880737305,46.195289611816406,4.505712509155273
5,53.247596740722656,44.36592102050781,6.335080623626709
6,54.76314163208008,42.320045471191406,8.38095474243164
7,56.49519348144531,40.05766296386719,10.643335342407227
8,58.42665100097656,37.611289978027344,12.839958190917969
9,60.63694763183594,34.93635559082031,14.822102546691895
10,62.659358978271484,32.220176696777344,16.917802810668945
11,64.57489776611328,29.782243728637695,19.420772552490234
12,66.43437194824219,27.835739135742188,21.85222816467285
13,67.86083221435547,26.322246551513672,23.850671768188477
14,68.80561828613281,25.29042625427246,25.63260841369629
15,69.48523712158203,24.898771286010742,27.4145450592041
