step,x,y,z
0,15.0,15.0,0.7009999752044678
1,15.0,15.0,1.0759999752044678
2,15.265165328979492,14.734834671020508,1.8259999752044678
3,16.06066131591797,13.939339637756348,2.5759999752044678
4,17.386486053466797,12.613513946533203,3.3259999752044678
5,19.24264144897461,11.287689208984375,4.076000213623047
6,21.629127502441406,10.492194175720215,4.826000213623047
7,24.545942306518555,9.696699142456055,5.576000213623047
8,27.993087768554688,8.901204109191895,6.326000213623047
9,31.970563888549805,8.636038780212402,7.076000213623047
10,36.478370666503906,8.37087345123291,7.826000213623047
11,41.51650619506836,8.105708122253418,8.576000213623047
12,47.0849723815918,7.840543270111084,9.326000213623047
13,53.18376922607422,7.57537841796875,10.076000213623047
14,59.812896728515625,7.840543270111084,10.826000213623047
15,66.97235107421875,8.636038780212402,11.576000213623047
16,74.66213989257812,9.961864471435547,12.326000213623047
17,82.88225555419922,11.81801986694336,13.076000213623047
18,91.63270568847656,14.20450496673584,13.826000213623047
19,100.91348266601562,16.59099006652832,14.576000213623047
20,110.7245864868164,18.447145462036133,15.326000213623047
21,121.06602478027344,19.77297019958496,16.076000213623047
22,131.9377899169922,20.568466186523438,16.826000213623047
23,143.23263549804688,21.354211807250977,17.576000213623047
24,154.6602020263672,22.622459411621094,18.326000213623047
25,166.03028869628906,24.332462310791016,19.076000213623047
26,177.32998657226562,26.45956802368164,19.826000213623047
27,188.5487823486328,28.979581832885742,20.576000213623047
28,199.6783447265625,31.868972778320312,21.326000213623047
29,210.8373260498047,34.63072967529297,22.076000213623047
30,222.02810668945312,37.27264404296875,22.826000213623047
31,233.24322509765625,39.797359466552734,23.576000213623047
32,244.57701110839844,41.722267150878906,24.326000213623047
33,255.92686462402344,43.56216812133789,25.076000213623047
34,267.202880859375,45.811729431152344,25.826000213623047
35,278.3952331542969,48.44694137573242,26.576000213623047
36,289.4962158203125,51.44449996948242,27.326000213623047
37,300.33331298828125,54.4010009765625,27.859493255615234
38,310.7373962402344,56.92449188232422,27.95997428894043
39,320.7084655761719,59.01496887207031,27.627443313598633
40,330.24652099609375,60.67243194580078,26.9404239654541
41,339.3515625,61.896881103515625,26.33193016052246
42,348.0235900878906,63.12133026123047,25.72343635559082
43,356.2626037597656,64.34577941894531,25.11494255065918
44,364.068603515625,65.57022857666016,24.50644874572754
45,371.44158935546875,66.794677734375,23.681447982788086
46,378.3815612792969,68.01912689208984,22.856447219848633
47,384.8885192871094,69.24357604980469,22.03144645690918
48,390.8039855957031,70.25151824951172,21.206445693969727
49,395.9694519042969,71.25946044921875,20.381444931030273
50,400.54339599609375,72.05089569091797,19.55644416809082
51,404.9008483886719,72.62582397460938,19.106443405151367
52,409.0417785644531,73.4172592163086,18.814937591552734
53,412.5912170410156,74.42520141601562,18.30692481994629
54,415.54913330078125,75.21663665771484,17.640419006347656
55,418.07403564453125,75.57506561279297,16.815418243408203
56,420.1659240722656,75.50048065185547,15.990418434143066
57,422.2578125,75.42589569091797,15.16541862487793
58,424.3497009277344,75.35131072998047,14.340418815612793
59,426.44158935546875,75.27672576904297,13.515419006347656
60,428.375,75.41864776611328,12.69041919708252
61,430.1985778808594,75.29540252685547,11.865419387817383
62,431.9123229980469,74.90699005126953,11.040419578552246
63,433.2510681152344,74.8935775756836,10.21541976928711
64,434.5898132324219,75.25516510009766,9.765419960021973
65,435.5535583496094,75.61675262451172,9.690420150756836
66,436.407470703125,75.71317291259766,9.6154203414917
67,437.15155029296875,75.54443359375,9.540420532226562
