step,x,y,z
0,15.0,15.0,0.7009999752044678
1,15.0,15.265165328979492,0.9661650061607361
2,15.265165328979492,16.06066131591797,1.496495008468628
3,16.06066131591797,17.386486053466797,2.026824951171875
4,17.386486053466797,19.24264144897461,2.557155132293701
5,19.24264144897461,21.629127502441406,3.0874853134155273
6,21.629127502441406,24.545942306518555,3.6178154945373535
7,24.545942306518555,27.993087768554688,4.14814567565918
8,27.993087768554688,31.970563888549805,4.678475856781006
9,31.970563888549805,36.478370666503906,5.208806037902832
10,36.478370666503906,41.51650619506836,5.739136219024658
11,41.51650619506836,47.0849723815918,6.269466400146484
12,46.81980895996094,52.918601989746094,7.1747965812683105
13,52.388275146484375,59.017398834228516,8.455126762390137
14,58.22190856933594,65.38136291503906,9.807791709899902
15,64.32070922851562,71.74532318115234,11.232791900634766
16,70.94983673095703,78.37445068359375,12.657792091369629
17,77.84413146972656,84.89374542236328,14.082792282104492
18,85.00358581542969,91.3031997680664,15.507792472839355
19,92.69337463378906,97.97782135009766,16.667627334594727
20,100.64833068847656,104.2774429321289,17.562297821044922
21,108.60328674316406,110.46723175048828,18.72213363647461
22,116.55824279785156,116.54718017578125,20.147132873535156
23,124.51319885253906,121.87713623046875,21.572132110595703
24,132.7333221435547,126.83209228515625,22.73196792602539
25,141.4837646484375,131.78704833984375,23.361473083496094
26,150.49937438964844,136.36700439453125,23.725812911987305
27,159.51498413085938,140.83712768554688,24.355318069458008
28,168.79576110839844,145.57240295410156,24.98482322692871
29,178.60687255859375,150.30767822265625,25.08399772644043
30,188.8955078125,155.01939392089844,24.652841567993164
31,199.4379425048828,159.61245727539062,23.892181396484375
32,210.05992126464844,164.01853942871094,23.067180633544922
33,220.75506591796875,168.2440185546875,22.24217987060547
34,231.51748657226562,172.2952117919922,21.417179107666016
35,242.34170532226562,176.17832946777344,20.592178344726562
36,253.22268676757812,179.89950561523438,19.76717758178711
37,264.1557922363281,183.46475219726562,18.942176818847656
38,275.11383056640625,186.95350646972656,18.492176055908203
39,286.0947570800781,190.36868286132812,18.15201187133789
40,297.1195373535156,193.63954162597656,17.436847686767578
41,308.1845703125,196.7716827392578,16.611846923828125
42,319.2864685058594,199.77053833007812,15.786847114562988
43,330.406005859375,202.70408630371094,15.336847305297852
44,341.58563232421875,205.3872833251953,15.478353500366211
45,352.8253479003906,207.8201141357422,16.211366653442383
46,364.0650634765625,210.25294494628906,17.477872848510742
47,375.3158874511719,212.6332550048828,18.637706756591797
48,386.57781982421875,214.5860595703125,19.532377243041992
49,397.9079895019531,216.13751220703125,20.161882400512695
50,409.3064270019531,217.28761291503906,20.526222229003906
51,420.7435302734375,218.04800415039062,20.625396728515625
52,432.0028076171875,218.57717895507812,20.675912857055664
53,442.8291015625,218.67333984375,21.159440994262695
54,453.2223815917969,218.33648681640625,22.07598304748535
55,463.3991394042969,217.51795959472656,22.943866729736328
56,473.3594055175781,216.21775817871094,23.763090133666992
57,482.88665771484375,214.9175567626953,24.582313537597656
58,491.98089599609375,213.6173553466797,25.40153694152832
59,500.6421203613281,212.31715393066406,26.220760345458984
60,508.8216552734375,211.23345947265625,26.558313369750977
61,516.51953125,209.93325805664062,26.84720802307129
62,523.7843627929688,208.633056640625,27.1361026763916
63,530.6162109375,207.33285522460938,27.424997329711914
64,537.0150756835938,206.03265380859375,27.713891983032227
65,542.9808959960938,204.73245239257812,28.00278663635254
66,548.4650268554688,203.2157440185547,28.243022918701172
67,553.4188232421875,201.69903564453125,27.95292854309082
68,557.8909912109375,199.9658203125,27.61417579650879
69,561.8814697265625,198.28126525878906,27.491928100585938
70,565.3902587890625,196.64537048339844,27.5861873626709
71,568.466064453125,195.0094757080078,27.68044662475586
72,571.1088256835938,193.3735809326172,27.77470588684082
73,573.2699584960938,191.78634643554688,28.085472106933594
74,574.9007568359375,190.19911193847656,28.396238327026367
75,576.266357421875,188.61187744140625,28.44183921813965
76,577.4154663085938,187.07330322265625,28.43878173828125
77,578.5645751953125,185.53472900390625,28.43572425842285
78,579.7136840820312,183.99615478515625,28.432666778564453
79,580.86279296875,182.45758056640625,28.429609298706055
80,582.2283935546875,181.13551330566406,28.210044860839844
81,583.593994140625,179.81344604492188,27.990480422973633
82,584.9595947265625,178.4913787841797,27.770915985107422
83,586.3251953125,177.1693115234375,27.55135154724121
84,587.6907958984375,175.8472442626953,27.331787109375
85,589.056396484375,174.52517700195312,27.11222267150879
86,590.4219970703125,173.20310974121094,26.892658233642578
87,591.78759765625,171.88104248046875,26.673093795776367
88,593.1531982421875,170.55897521972656,26.453529357910156
89,594.253662109375,169.5020751953125,26.233964920043945
90,595.0889282226562,168.7103271484375,26.014400482177734
91,596.1893920898438,167.9185791015625,25.52967071533203
92,597.5549926757812,167.1268310546875,24.779775619506836
93,598.9205932617188,166.3350830078125,24.40488052368164
94,600.0210571289062,165.80850219726562,24.404985427856445
95,600.5911865234375,165.812255859375,24.40509033203125
