step,x,y,z
0,50.0,50.0,0.7009999752044678
1,50.26516342163086,50.0,0.9661650061607361
2,51.0606575012207,50.0,1.761660099029541
3,52.38648223876953,50.0,3.0874853134155273
4,54.242637634277344,50.0,4.94364070892334
5,56.098793029785156,50.26516342163086,7.064960956573486
6,57.906288146972656,50.57898712158203,8.969775199890137
7,59.93029022216797,50.941471099853516,10.923247337341309
8,61.57929229736328,51.56911849975586,13.141884803771973
9,63.069801330566406,51.98025894165039,15.14401626586914
10,64.51165008544922,52.440059661865234,16.929641723632812
11,65.42317199707031,53.43019104003906,18.715267181396484
12,65.80435943603516,54.95064926147461,20.500892639160156
13,65.65522003173828,57.00143814086914,22.286518096923828
14,65.24091339111328,59.6923942565918,24.0721435546875
15,64.82660675048828,62.49318313598633,25.59260368347168
16,64.6288070678711,64.81230163574219,26.631391525268555
17,64.86402130126953,66.69841003417969,27.237167358398438
18,65.5322494506836,68.15150451660156,27.409931182861328
19,66.41698455810547,69.76309204101562,27.366188049316406
20,67.51822662353516,71.53317260742188,27.105937957763672
21,68.83597564697266,73.46174621582031,26.629180908203125
22,70.37023162841797,75.54881286621094,25.9359188079834
23,72.33749389648438,77.20286560058594,24.809642791748047
24,74.5212631225586,78.90557861328125,23.732027053833008
25,76.92153930664062,80.65695190429688,22.70306968688965
26,79.16332244873047,82.19181823730469,21.457605361938477
27,81.03010559082031,83.46151733398438,20.477306365966797
28,82.89688873291016,84.73121643066406,20.0273380279541
29,85.02883911132812,86.26608276367188,20.107698440551758
30,87.42595672607422,87.53578186035156,20.7183895111084
31,89.82307434082031,88.91532135009766,21.59424591064453
32,92.0036849975586,90.45335388183594,22.25359535217285
33,93.59278869628906,91.7748794555664,22.69643783569336
34,94.43189239501953,93.09640502929688,23.139280319213867
35,95.11250305175781,94.20142364501953,23.365617752075195
36,95.6346206665039,95.08993530273438,23.37544822692871
37,95.40673828125,95.97844696044922,23.385278701782227
38,94.8038558959961,96.60179138183594,23.660274505615234
39,94.41747283935547,96.74346923828125,23.983928680419922
