step,x,y,z
0,50.0,50.0,0.7009999752044678
1,51.154701232910156,51.154701232910156,1.8557004928588867
2,52.30940246582031,52.30940246582031,3.0104010105133057
3,53.72361755371094,52.30940246582031,4.424614429473877
4,55.13783264160156,52.30940246582031,5.838828086853027
5,56.55204772949219,52.30940246582031,7.253041744232178
6,57.96626281738281,52.30940246582031,8.667255401611328
7,59.38047790527344,52.30940246582031,10.08146858215332
8,60.79469299316406,52.30940246582031,11.495681762695312
9,62.20890808105469,52.30940246582031,12.909894943237305
10,63.363609313964844,53.46410369873047,14.064595222473145
11,64.518310546875,54.618804931640625,15.219295501708984
12,65.93252563476562,54.618804931640625,16.633508682250977
13,67.08722686767578,55.77350616455078,17.788209915161133
14,68.24192810058594,56.92820739746094,18.94291114807129
15,69.3966293334961,58.082908630371094,20.097612380981445
16,69.3966293334961,59.49712371826172,21.511825561523438
17,69.3966293334961,60.911338806152344,22.92603874206543
18,70.55133056640625,62.0660400390625,24.080739974975586
19,71.7060317993164,63.220741271972656,25.235441207885742
20,72.86073303222656,64.37544250488281,26.3901424407959
21,74.27494812011719,65.78965759277344,26.3901424407959
22,75.42964935302734,66.9443588256836,27.544843673706055
23,76.84386444091797,68.35857391357422,27.544843673706055
24,78.2580795288086,69.77278900146484,27.544843673706055
25,79.67229461669922,71.18700408935547,27.544843673706055
26,81.08650970458984,72.6012191772461,27.544843673706055
27,82.50072479248047,74.01543426513672,27.544843673706055
28,83.9149398803711,75.42964935302734,27.544843673706055
29,85.32915496826172,76.84386444091797,27.544843673706055
30,86.74337005615234,78.2580795288086,27.544843673706055
31,88.15758514404297,79.67229461669922,27.544843673706055
32,88.15758514404297,81.67229461669922,27.544843673706055
33,89.5718002319336,83.08650970458984,27.544843673706055
34,90.98601531982422,84.50072479248047,27.544843673706055
35,90.98601531982422,86.50072479248047,27.544843673706055
36,90.98601531982422,86.50072479248047,25.544843673706055
37,90.98601531982422,88.50072479248047,25.544843673706055
38,90.98601531982422,90.50072479248047,25.544843673706055
39,90.98601531982422,90.50072479248047,23.544843673706055
40,90.98601531982422,92.50072479248047,23.544843673706055
41,92.40023040771484,93.9149398803711,23.544843673706055
42,93.81444549560547,95.32915496826172,23.544843673706055
