step,x,y,z
0,250.0,125.0,0.7009999752044678
1,250.0,125.26516723632812,0.9661650061607361
2,250.0,126.06066131591797,1.761660099029541
3,250.0,127.38648986816406,3.0874853134155273
4,250.0,129.24264526367188,4.94364070892334
5,250.0,131.62913513183594,7.33012580871582
6,250.0,134.36917114257812,10.070164680480957
7,250.0,137.19760131835938,12.898591995239258
8,250.0,140.02603149414062,15.727019309997559
9,250.0,142.85446166992188,18.55544662475586
10,250.0,145.68289184570312,21.383872985839844
11,250.0,148.51132202148438,24.212299346923828
12,250.0,151.33975219726562,27.040725708007812
13,250.0,154.16818237304688,29.869152069091797
14,250.0,156.99661254882812,32.69757843017578
15,250.0,159.82504272460938,35.526004791259766
16,250.0,162.65347290039062,38.35443115234375
17,250.0,165.48190307617188,41.182857513427734
18,250.0,168.31033325195312,44.01128387451172
19,250.0,171.13876342773438,46.8397102355957
