step,x,y,z
0,50.0,50.0,0.7009999752044678
1,50.0,50.0,2.7009999752044678
2,48.845298767089844,51.154701232910156,3.8557004928588867
3,47.69059753417969,52.30940246582031,5.010400772094727
4,47.69059753417969,52.30940246582031,7.010400772094727
5,47.69059753417969,52.30940246582031,9.010400772094727
6,47.69059753417969,52.30940246582031,11.010400772094727
7,47.69059753417969,52.30940246582031,13.010400772094727
8,47.69059753417969,53.72361755371094,14.424613952636719
9,46.53589630126953,54.878318786621094,15.579314231872559
10,46.53589630126953,54.878318786621094,17.579315185546875
11,45.381195068359375,56.03302001953125,18.73401641845703
12,44.22649383544922,57.187721252441406,19.888717651367188
13,42.22649383544922,57.187721252441406,19.888717651367188
14,40.22649383544922,57.187721252441406,19.888717651367188
15,39.07179260253906,58.34242248535156,21.043418884277344
16,37.917091369628906,57.187721252441406,22.1981201171875
17,35.917091369628906,57.187721252441406,22.1981201171875
18,34.76239013671875,56.03302001953125,23.352821350097656
