step,x,y,z
0,50.0,50.0,0.7009999752044678
1,51.154701232910156,48.845298767089844,1.8557004928588867
2,52.30940246582031,47.69059753417969,3.0104010105133057
3,53.46410369873047,46.53589630126953,4.165101528167725
4,54.618804931640625,45.381195068359375,5.319802284240723
5,55.77350616455078,44.22649383544922,6.4745025634765625
6,56.92820739746094,43.07179260253906,7.629202842712402
7,58.082908630371094,41.917091369628906,8.783903121948242
8,59.49712371826172,40.50287628173828,8.783903121948242
9,60.911338806152344,39.088661193847656,8.783903121948242
10,62.32555389404297,37.67444610595703,8.783903121948242
11,63.739768981933594,36.260231018066406,8.783903121948242
12,65.15398406982422,34.84601593017578,8.783903121948242
13,66.56819915771484,33.431800842285156,8.783903121948242
14,67.98241424560547,32.01758575439453,8.783903121948242
15,69.3966293334961,30.60337257385254,8.783903121948242
16,70.81084442138672,29.189159393310547,8.783903121948242
17,72.22505950927734,27.774946212768555,8.783903121948242
18,73.63927459716797,26.360733032226562,8.783903121948242
19,73.63927459716797,24.360733032226562,8.783903121948242
20,74.79397583007812,23.206031799316406,9.938603401184082
21,76.20819091796875,21.791818618774414,9.938603401184082
22,77.62240600585938,20.377605438232422,9.938603401184082
23,78.77710723876953,19.222904205322266,11.093303680419922
24,78.77710723876953,17.222904205322266,11.093303680419922
25,79.93180847167969,16.06820297241211,12.248003959655762
26,81.34602355957031,14.653989791870117,12.248003959655762
