index,time_s,x,y,z,vx,vy,vz,speed,ax,ay,az,acceleration,path_s
0,0.0,15.0,15.0,0.7009999752044678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.5,15.375,15.0,0.7009999752044678,1.5,0.0,0.0,1.5,3.0,0.0,0.0,3.0,0.375
2,1.0,16.5,15.0,0.7009999752044678,3.0,0.0,0.0,3.0,3.0,0.0,0.0,3.0,1.5
3,1.5,18.375,15.0,0.7009999752044678,4.5,0.0,0.0,4.5,3.0,0.0,0.0,3.0,3.375
4,2.0,21.0,15.0,0.7009999752044678,6.0,0.0,0.0,6.0,3.0,0.0,0.0,3.0,6.0
5,2.5,24.375,15.0,0.7009999752044678,7.5,0.0,0.0,7.5,3.0,0.0,0.0,3.0,9.375
6,3.0,28.5,15.0,0.7009999752044678,9.0,0.0,0.0,9.0,3.0,0.0,0.0,3.0,13.5
7,3.5,33.375,15.0,0.7009999752044678,10.5,0.0,0.0,10.5,3.0,0.0,0.0,3.0,18.375
8,4.0,38.625,14.625,0.7009999752044678,10.5,-1.5,0.0,10.606601717798213,0.0,-3.0,0.0,3.0,23.638375817856826
9,4.5,43.875,14.25,0.7009999752044678,10.5,0.0,0.0,10.5,0.0,3.0,0.0,3.0,28.90175163571365
10,5.0,49.125,13.875,0.7009999752044678,10.5,-1.5,0.0,10.606601717798213,0.0,-3.0,0.0,3.0,34.16512745357048
11,5.5,54.375,13.5,0.7009999752044678,10.5,0.0,0.0,10.5,0.0,3.0,0.0,3.0,39.4285032714273
12,6.0,59.625,13.125,0.7009999752044678,10.5,-1.5,0.0,10.606601717798213,0.0,-3.0,0.0,3.0,44.69187908928413
13,6.5,64.875,12.75,0.7009999752044678,10.5,0.0,0.0,10.5,0.0,3.0,0.0,3.0,49.955254907140954
14,7.0,70.125,12.375,0.7009999752044678,10.5,-1.5,0.0,10.606601717798213,0.0,-3.0,0.0,3.0,55.21863072499778
15,7.5,75.375,12.0,0.7009999752044678,10.5,0.0,0.0,10.5,0.0,3.0,0.0,3.0,60.482006542854606
16,8.0,80.625,11.625,0.7009999752044678,10.5,-1.5,0.0,10.606601717798213,0.0,-3.0,0.0,3.0,65.74538236071143
17,8.5,85.875,11.25,0.7009999752044678,10.5,0.0,0.0,10.5,0.0,3.0,0.0,3.0,71.00875817856826
18,9.0,91.125,10.875,0.7009999752044678,10.5,-1.5,0.0,10.606601717798213,0.0,-3.0,0.0,3.0,76.27213399642508
19,9.5,96.375,10.5,0.7009999752044678,10.5,0.0,0.0,10.5,0.0,3.0,0.0,3.0,81.53550981428191
20,10.0,101.625,10.125,0.7009999752044678,10.5,-1.5,0.0,10.606601717798213,0.0,-3.0,0.0,3.0,86.79888563213873
21,10.5,106.875,9.75,0.7009999752044678,10.5,0.0,0.0,10.5,0.0,3.0,0.0,3.0,92.06226144999556
22,11.0,112.125,9.375,0.7009999752044678,10.5,-1.5,0.0,10.606601717798213,0.0,-3.0,0.0,3.0,97.32563726785239
23,11.5,117.375,9.0,0.7009999752044678,10.5,0.0,0.0,10.5,0.0,3.0,0.0,3.0,102.58901308570921
24,12.0,122.625,9.375,0.7009999752044678,10.5,1.5,0.0,10.606601717798213,0.0,3.0,0.0,3.0,107.85238890356604
25,12.5,127.875,9.859834671020508,0.9661650061607361,10.5,0.43933987617492676,1.0606601238250732,10.562576363040886,0.0,-2.1213202476501465,2.1213202476501465,2.99999986436349,113.13139232768556
26,13.0,133.125,10.344669342041016,1.2313300371170044,10.5,1.5,0.0,10.606601717798213,0.0,2.1213202476501465,-2.1213202476501465,2.99999986436349,118.41039575180508
27,13.5,138.375,10.719669342041016,1.2313300371170044,10.5,0.0,0.0,10.5,0.0,-3.0,0.0,3.0,123.67377156966191
28,14.0,143.625,10.344669342041016,1.2313300371170044,10.5,-1.5,0.0,10.606601717798213,0.0,-3.0,0.0,3.0,128.93714738751873
29,14.5,148.875,9.859834671020508,0.9661650061607361,10.5,-0.43933987617492676,-1.0606601238250732,10.562576363040886,0.0,2.1213202476501465,-2.1213202476501465,2.99999986436349,134.21615081163824
30,15.0,154.125,9.375,0.7009999752044678,10.5,-1.5,0.0,10.606601717798213,0.0,-2.1213202476501465,2.1213202476501465,2.99999986436349,139.49515423575775
31,15.5,159.375,9.0,0.7009999752044678,10.5,0.0,0.0,10.5,0.0,3.0,0.0,3.0,144.75853005361458
32,16.0,164.625,8.734834671020508,0.9661650061607361,10.5,-1.0606601238250732,1.0606601238250732,10.606601708207263,0.0,-2.1213202476501465,2.1213202476501465,2.99999986436349,150.02190588527765
33,16.5,169.875,8.469669342041016,1.2313300371170044,10.5,0.0,0.0,10.5,0.0,2.1213202476501465,-2.1213202476501465,2.99999986436349,155.28528171694072
34,17.0,175.125,8.204504013061523,1.496495008468628,10.5,-1.0606601238250732,1.0606601238250732,10.606601708207263,0.0,-2.1213202476501465,2.1213202476501465,2.99999986436349,160.54865754560095
35,17.5,180.375,7.9393391609191895,1.761660099029541,10.5,0.0,0.0,10.5,0.0,2.1213202476501465,-2.1213202476501465,2.99999986436349,165.81203335624414
36,18.0,185.625,8.314338684082031,1.761660099029541,10.5,1.5,0.0,10.606601717798213,0.0,3.0,0.0,3.0,171.07540914012776
37,18.5,190.6584930419922,9.280844688415527,1.9781664609909058,9.6339750289917,2.366025447845459,0.8660253882408142,9.957989317737068,-1.7320499420166016,1.732050895690918,1.7320507764816284,2.999999533202303,176.20542483844352
38,19.0,195.47547912597656,10.088857650756836,2.4111790657043457,9.6339750289917,0.866025447845459,0.8660253882408142,9.711512493357004,0.0,-3.0,0.0,3.0,181.1088664661629
39,19.5,200.50897216796875,10.305363655090332,3.0606980323791504,10.5,5.960464477539063e-08,1.7320507764816284,10.641898321836692,1.7320499420166016,-1.7320507764816284,1.7320507764816284,2.999999464376775,186.1887091745316
40,20.0,205.75897216796875,10.570528984069824,3.6615583896636963,10.5,1.0606601238250732,0.6713906526565552,10.574770224773076,0.0,2.1213202476501465,-2.1213202476501465,2.99999986436349,191.47963024941532
41,20.5,210.79246520996094,11.317365646362305,4.213759899139404,9.6339750289917,1.9266855716705322,1.5374159812927246,9.944306916565543,-1.7320499420166016,1.732050895690918,1.7320506572723389,2.9999994643767796,196.59810108658877
42,21.0,215.6094512939453,12.015542984008789,5.24763298034668,9.6339750289917,0.866025447845459,2.598076105117798,10.015661455117959,0.0,-2.1213202476501465,2.1213202476501465,2.99999986436349,201.57401307095378
43,21.5,220.4264373779297,12.713720321655273,6.281506061553955,9.6339750289917,1.9266855716705322,1.5374159812927246,9.944306916565543,0.0,2.1213202476501465,-2.1213202476501465,2.99999986436349,206.5499250553188
44,22.0,225.24342346191406,13.411897659301758,7.3153791427612305,9.6339750289917,0.866025447845459,2.598076105117798,10.015661455117959,0.0,-2.1213202476501465,2.1213202476501465,2.99999986436349,211.5258370396838
45,22.5,230.06040954589844,14.110074996948242,8.349252700805664,9.6339750289917,1.9266855716705322,1.5374159812927246,9.944306916565543,0.0,2.1213202476501465,-2.1213202476501465,2.99999986436349,216.50174912312397
46,23.0,234.8773956298828,14.698417663574219,9.117960929870605,9.6339750289917,0.4266855716705322,1.5374159812927246,9.76520267766326,0.0,-3.0,0.0,3.0,221.41503869001332
47,23.5,239.910888671875,15.128267288208008,9.670162200927734,10.5,1.2927110195159912,0.6713905930519104,10.600559754485452,1.7320499420166016,1.732050895690918,-1.7320507764816284,2.999999533202303,226.49694277680388
48,24.0,244.9443817138672,15.991128921508789,10.222363471984863,9.6339750289917,2.15873646736145,1.5374159812927246,9.991859981719424,-1.7320499420166016,1.732050895690918,1.7320507764816284,2.999999533202303,231.6336254267019
49,24.5,249.76136779785156,16.695497512817383,10.991071701049805,9.6339750289917,0.6587364673614502,1.5374159812927246,9.778090636325771,0.0,-3.0,0.0,3.0,236.56215486124458
50,25.0,254.57835388183594,17.29003143310547,11.494614601135254,9.6339750289917,1.7193965911865234,0.47675585746765137,9.797810757748342,0.0,2.1213202476501465,-2.1213202476501465,2.99999986436349,241.44174305779342
