step,x,y,z
0,50.0,50.0,0.7009999752044678
1,50.26516342163086,50.0,0.9661650061607361
2,51.0606575012207,50.0,1.761660099029541
3,52.38648223876953,50.0,3.0874853134155273
4,53.71230697631836,50.0,4.94364070892334
5,55.03813171386719,50.0,6.799796104431152
6,56.894287109375,50.0,8.655951499938965
7,59.01560592651367,50.0,10.402271270751953
8,60.871761322021484,50.0,12.038756370544434
9,62.46275329589844,50.375,13.940406799316406
10,63.67874526977539,51.125,15.842057228088379
11,64.51973724365234,52.14016342163086,17.47854232788086
12,65.14421844482422,53.20398712158203,19.066368103027344
13,65.55219268798828,54.316471099853516,20.60553550720215
14,65.96016693115234,55.69411849975586,21.50453758239746
15,66.3681411743164,57.4467658996582,22.028539657592773
16,66.40111541748047,59.57441329956055,22.552541732788086
17,66.05908966064453,62.07706069946289,23.0765438079834
18,65.7170639038086,64.9547119140625,23.22554588317871
19,65.64020538330078,67.83235931396484,22.734384536743164
20,65.8285140991211,70.71000671386719,21.603057861328125
21,66.0168228149414,73.21265411376953,20.096731185913086
22,66.47029876708984,75.34030151367188,18.85556983947754
23,67.4541015625,77.46794891357422,18.144737243652344
24,68.96823120117188,79.59559631347656,17.964235305786133
25,71.0126953125,81.7232437133789,17.783733367919922
26,73.10581970214844,83.63438415527344,17.55457305908203
27,75.24759674072266,85.32901763916016,17.807083129882812
28,77.43803405761719,86.80714416503906,18.5412654876709
29,79.67713165283203,88.06876373291016,19.226789474487305
30,81.96488952636719,89.11387634277344,19.86365509033203
31,84.30130767822266,89.9424819946289,20.451860427856445
32,86.63772583007812,90.77108764648438,21.04006576538086
33,88.33397674560547,91.59969329833984,21.893436431884766
34,89.92039489746094,92.42829895019531,22.48164176940918
35,91.39697265625,93.25690460205078,22.804683685302734
36,92.28204345703125,93.86901092529297,23.34423065185547
37,92.95060729980469,94.26461029052734,23.725284576416016
38,93.88433837890625,94.66020965576172,23.996503829956055
39,94.70823669433594,95.0558090209961,24.532888412475586
40,95.15713500976562,95.45140838623047,24.694272994995117
41,95.87120056152344,95.84700775146484,24.745820999145508
42,96.47542572021484,96.24260711669922,25.06253433227539
43,96.48814392089844,96.42169952392578,25.162742614746094
